ticker,scenario,latest_quarter_revenue_b,latest_quarter_net_income_b,shares_outstanding_b,rev_y1,rev_y2,rev_y3,ni_y1,ni_y2,ni_y3,durable_growth_view,growth_weight_pct,notes
AMD,bear,10.253,1.383,1.63,35,30,25,50,40,30,8,35,Guidance-based starter assumptions; latest quarter values and shares included
AMD,base,10.253,1.383,1.63,46,38,30,65,50,35,12,60,Guidance-based starter assumptions; latest quarter values and shares included
AMD,bull,10.253,1.383,1.63,55,45,35,80,60,40,18,75,Guidance-based starter assumptions; latest quarter values and shares included
AMZN,bear,181.5,30.3,10.735,12,11,10,15,14,12,8,35,Anthropic gain distortions toned down; latest quarter values and shares included
AMZN,base,181.5,30.3,10.735,16,15,13,22,20,18,12,60,Anthropic gain distortions toned down; latest quarter values and shares included
AMZN,bull,181.5,30.3,10.735,20,18,16,30,27,24,18,75,Anthropic gain distortions toned down; latest quarter values and shares included
MSFT,bear,82.9,31.8,7.434,12,11,10,16,15,14,8,35,Guidance-based starter assumptions; latest quarter values and shares included
MSFT,base,82.9,31.8,7.434,15,14,13,22,20,18,12,60,Guidance-based starter assumptions; latest quarter values and shares included
MSFT,bull,82.9,31.8,7.434,18,17,16,28,25,22,18,75,Guidance-based starter assumptions; latest quarter values and shares included
NVDA,bear,39.331,22.091,2.785,40,30,22,50,35,25,12,35,Guidance-based starter assumptions; latest quarter values and shares included
NVDA,base,39.331,22.091,2.785,50,38,28,65,45,32,18,60,Guidance-based starter assumptions; latest quarter values and shares included
NVDA,bull,39.331,22.091,2.785,60,45,34,80,55,40,24,75,Guidance-based starter assumptions; latest quarter values and shares included
META,bear,48.39,20.838,2.616,22,18,15,18,16,14,10,35,Tax-benefit distortion toned down; latest quarter values and shares included
META,base,48.39,20.838,2.616,29,24,20,25,22,18,14,60,Tax-benefit distortion toned down; latest quarter values and shares included
META,bull,48.39,20.838,2.616,35,29,24,32,28,24,18,75,Tax-benefit distortion toned down; latest quarter values and shares included
